trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11563070,14,6,"Fruitvale BART",,1,14008,shp-14-12,0,0
2119010,14,5,"Fruitvale BART",,1,14002,shp-14-12,0,0
198070,14,6,"Fruitvale BART",,1,62004,shp-14-12,0,0
5953020,14,4,"Fruitvale BART",,1,14003,shp-14-12,0,0
11075020,14,4,"Fruitvale BART",,1,14005,shp-14-12,0,0
8940020,14,4,"Fruitvale BART",,1,14008,shp-14-12,0,0
13491010,14,5,"Fruitvale BART",,1,14008,shp-14-12,0,0
7458020,14,4,"Fruitvale BART",,1,14006,shp-14-12,0,0
12225020,14,4,"Fruitvale BART",,1,14007,shp-14-12,0,0
6104010,14,5,"Fruitvale BART",,1,14004,shp-14-12,0,0
1370020,14,4,"Fruitvale BART",,1,124009,shp-14-12,0,0
2078020,14,4,"Fruitvale BART",,1,14003,shp-14-12,0,0
12869020,14,4,"Fruitvale BART",,1,14005,shp-14-12,0,0
11883070,14,6,"Fruitvale BART",,1,14003,shp-14-12,0,0
11658070,14,6,"Fruitvale BART",,1,14008,shp-14-12,0,0
11705070,14,6,"Fruitvale BART",,1,14004,shp-14-12,0,0
8329070,14,6,"Fruitvale BART",,1,14003,shp-14-12,0,0
10148070,14,6,"Fruitvale BART",,1,14005,shp-14-12,0,0
382070,14,6,"Fruitvale BART",,1,14005,shp-14-12,0,0
11786010,14,5,"Fruitvale BART",,1,62001,shp-14-12,0,0
4488010,14,5,"Fruitvale BART",,1,14001,shp-14-12,0,0
7569020,14,4,"Fruitvale BART",,1,14003,shp-14-12,0,0
11972070,14,6,"Fruitvale BART",,1,14005,shp-14-12,0,0
11007020,14,4,"Fruitvale BART",,1,14005,shp-14-12,0,0
5205070,14,6,"Fruitvale BART",,1,14007,shp-14-12,0,0
1903010,14,5,"Fruitvale BART",,1,14003,shp-14-12,0,0
12276020,14,4,"Fruitvale BART",,1,14008,shp-14-12,0,0
5952070,14,6,"Fruitvale BART",,1,14001,shp-14-12,0,0
5100020,14,4,"Fruitvale BART",,1,14001,shp-14-12,0,0
3741070,14,6,"Fruitvale BART",,1,14002,shp-14-12,0,0
13332020,14,4,"Fruitvale BART",,1,14004,shp-14-12,0,0
11309010,14,5,"Fruitvale BART",,1,14006,shp-14-12,0,0
5375070,14,6,"Fruitvale BART",,1,14001,shp-14-12,0,0
514020,14,4,"Fruitvale BART",,1,14006,shp-14-12,0,0
13188020,14,4,"Fruitvale BART",,1,14001,shp-14-12,0,0
1759070,14,6,"Fruitvale BART",,1,14007,shp-14-12,0,0
8151070,14,6,"Fruitvale BART",,1,14008,shp-14-12,0,0
12517010,14,5,"Fruitvale BART",,1,14002,shp-14-12,0,0
12345010,14,5,"Fruitvale BART",,1,14002,shp-14-12,0,0
7105020,14,4,"Fruitvale BART",,1,14007,shp-14-12,0,0
10724010,14,5,"Fruitvale BART",,1,14004,shp-14-12,0,0
12843070,14,6,"Fruitvale BART",,1,14008,shp-14-12,0,0
10059020,14,4,"Fruitvale BART",,1,14006,shp-14-12,0,0
13715010,14,5,"Fruitvale BART",,1,14005,shp-14-12,0,0
2227010,14,5,"Fruitvale BART",,1,62002,shp-14-12,0,0
4153020,14,4,"Fruitvale BART",,1,14007,shp-14-12,0,0
9738070,14,6,"Fruitvale BART",,1,14006,shp-14-12,0,0
5495010,14,5,"Fruitvale BART",,1,62004,shp-14-12,0,0
13755020,14,4,"Fruitvale BART",,1,14008,shp-14-12,0,0
11158010,14,5,"Fruitvale BART",,1,14001,shp-14-12,0,0
1366070,14,6,"Fruitvale BART",,1,14001,shp-14-12,0,0
8665070,14,6,"Fruitvale BART",,1,14006,shp-14-12,0,0
9893020,14,4,"Fruitvale BART",,1,14004,shp-14-12,0,0
3259020,14,4,"Fruitvale BART",,1,14009,shp-14-12,0,0
3569070,14,6,"Fruitvale BART",,1,14007,shp-14-12,0,0
9804010,14,5,"Fruitvale BART",,1,62003,shp-14-12,0,0
11428070,14,6,"Fruitvale BART",,1,14002,shp-14-12,0,0
1876070,14,6,"Fruitvale BART",,1,14001,shp-14-12,0,0
3489020,14,4,"Fruitvale BART",,1,14004,shp-14-12,0,0
11571020,14,4,"Fruitvale BART",,1,14004,shp-14-12,0,0
7914010,14,5,"Fruitvale BART",,1,14008,shp-14-12,0,0
4154070,14,6,"Fruitvale BART",,1,14006,shp-14-12,0,0
3114020,14,4,"Fruitvale BART",,1,14007,shp-14-12,0,0
12977010,14,5,"Fruitvale BART",,1,14008,shp-14-12,0,0
